Vivado Simulator 2017.2
Time resolution is 1 ps
                   0, RESET = 0, CLK = 1, direction[1] = x, direction[0] = x, rotationDuration[1] = x, rotationDuration[0] = x
              780000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              790000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              800000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              810000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              820000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              830000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              840000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 0
              850000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 0
              860000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              870000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              880000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              890000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              900000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              910000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              920000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 0
              930000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 0
              940000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              950000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              960000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              970000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              980000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 0
              990000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 0
             1000000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
